,spot-0,pe-premium-0,ce-premium-0,pe-profit-0,ce-profit-0,spot-1,pe-premium-1,ce-premium-1,pe-profit-1,ce-profit-1
206,37580.4,668.35,256.00,-78.35,105.95,37580.4,668.35,256.00,-78.35,105.95
207,37559.55,692.65,244.70,-78.35,105.95,37559.55,692.65,244.70,-78.35,105.95
208,37560.6,688.25,247.20,-78.35,105.95,37560.6,688.25,247.20,-78.35,105.95
209,37499.35,733.35,229.70,-78.35,105.95,37499.35,733.35,229.70,-78.35,105.95
210,37463.4,755.70,222.50,-78.35,105.95,37463.4,755.70,222.50,-78.35,105.95
211,37451.7,770.00,218.75,-78.35,105.95,37451.7,770.00,218.75,-78.35,105.95
212,37472.8,752.30,228.60,-78.35,105.95,37472.8,752.30,228.60,-78.35,105.95
213,37441.55,775.25,219.70,-78.35,105.95,37441.55,775.25,219.70,-78.35,105.95
214,37526.65,698.40,242.05,-78.35,105.95,37526.65,698.40,242.05,-78.35,105.95
215,37543.9,689.90,247.70,-78.35,105.95,37543.9,689.90,247.70,-78.35,105.95
216,37555.7,678.55,250.45,-78.35,105.95,37555.7,678.55,250.45,-78.35,105.95
217,37553.5,686.40,249.35,-78.35,105.95,37553.5,686.40,249.35,-78.35,105.95
218,37541.4,705.00,240.40,-78.35,105.95,37541.4,705.00,240.40,-78.35,105.95
219,37529.2,715.35,237.05,-78.35,105.95,37529.2,715.35,237.05,-78.35,105.95
220,37549.8,694.75,245.55,-78.35,105.95,37549.8,694.75,245.55,-78.35,105.95
221,37551.9,688.15,246.55,-78.35,105.95,37551.9,688.15,246.55,-78.35,105.95
222,37551.75,681.95,245.30,-78.35,105.95,37551.75,681.95,245.30,-78.35,105.95
223,37570.0,671.95,252.20,-78.35,105.95,37570.0,671.95,252.20,-78.35,105.95
224,37604.75,643.50,261.55,-78.35,105.95,37604.75,643.50,261.55,-78.35,105.95
225,37605.9,641.20,264.30,-78.35,105.95,37605.9,641.20,264.30,-78.35,105.95
226,37616.85,640.90,265.85,-78.35,105.95,37616.85,640.90,265.85,-78.35,105.95
227,37632.0,621.45,274.20,-78.35,105.95,37632.0,621.45,274.20,-78.35,105.95
228,37643.7,618.00,276.50,-78.35,105.95,37643.7,618.00,276.50,-78.35,105.95
229,37560.95,681.05,243.05,-78.35,105.95,37560.95,681.05,243.05,-78.35,105.95
230,37577.25,665.00,253.05,-78.35,105.95,37577.25,665.00,253.05,-78.35,105.95
231,37634.35,626.05,272.20,-78.35,105.95,37634.35,626.05,272.20,-78.35,105.95
232,37626.85,644.10,265.80,-78.35,105.95,37626.85,644.10,265.80,-78.35,105.95
233,37620.75,638.55,265.65,-78.35,105.95,37620.75,638.55,265.65,-78.35,105.95
234,37579.6,666.65,253.55,-78.35,105.95,37579.6,666.65,253.55,-78.35,105.95
235,37609.35,651.05,261.00,-78.35,105.95,37609.35,651.05,261.00,-78.35,105.95
236,37593.85,663.30,256.40,-78.35,105.95,37593.85,663.30,256.40,-78.35,105.95
237,37597.15,663.95,259.05,-78.35,105.95,37597.15,663.95,259.05,-78.35,105.95
238,37610.25,646.60,265.65,-78.35,105.95,37610.25,646.60,265.65,-78.35,105.95
239,37603.15,659.80,261.20,-78.35,105.95,37603.15,659.80,261.20,-78.35,105.95
240,37560.75,685.95,249.00,-78.35,105.95,37560.75,685.95,249.00,-78.35,105.95
241,37558.55,685.40,248.90,-78.35,105.95,37558.55,685.40,248.90,-78.35,105.95
242,37584.4,667.05,258.20,-78.35,105.95,37584.4,667.05,258.20,-78.35,105.95
243,37599.15,656.25,263.55,-78.35,105.95,37599.15,656.25,263.55,-78.35,105.95
244,37620.15,633.70,271.65,-78.35,105.95,37620.15,633.70,271.65,-78.35,105.95
245,37621.7,639.25,269.20,-78.35,105.95,37621.7,639.25,269.20,-78.35,105.95
246,37631.9,627.70,274.60,-78.35,105.95,37631.9,627.70,274.60,-78.35,105.95
247,37630.1,635.20,273.40,-78.35,105.95,37630.1,635.20,273.40,-78.35,105.95
248,37641.25,624.85,277.90,-78.35,105.95,37641.25,624.85,277.90,-78.35,105.95
249,37652.45,614.25,285.60,-78.35,105.95,37652.45,614.25,285.60,-78.35,105.95
250,37631.5,628.90,275.80,-78.35,105.95,37631.5,628.90,275.80,-78.35,105.95
251,37648.0,617.15,280.95,-78.35,105.95,37648.0,617.15,280.95,-78.35,105.95
252,37642.4,623.45,277.90,-78.35,105.95,37642.4,623.45,277.90,-78.35,105.95
253,37660.1,607.80,285.75,-78.35,105.95,37660.1,607.80,285.75,-78.35,105.95
254,37662.65,598.65,289.15,-78.35,105.95,37662.65,598.65,289.15,-78.35,105.95
255,37642.35,624.00,276.75,-78.35,105.95,37642.35,624.00,276.75,-78.35,105.95
256,37654.85,619.95,283.10,-78.35,105.95,37654.85,619.95,283.10,-78.35,105.95
257,37641.1,632.40,275.90,-78.35,105.95,37641.1,632.40,275.90,-78.35,105.95
258,37664.3,611.75,285.75,-78.35,105.95,37664.3,611.75,285.75,-78.35,105.95
259,37657.6,618.95,281.55,-78.35,105.95,37657.6,618.95,281.55,-78.35,105.95
260,37660.55,620.40,281.95,-78.35,105.95,37660.55,620.40,281.95,-78.35,105.95
261,37667.3,608.50,287.70,-78.35,105.95,37667.3,608.50,287.70,-78.35,105.95
262,37688.65,595.00,294.30,-78.35,105.95,37688.65,595.00,294.30,-78.35,105.95
263,37689.45,596.95,295.60,-78.35,105.95,37689.45,596.95,295.60,-78.35,105.95
264,37670.85,613.00,285.00,-78.35,105.95,37670.85,613.00,285.00,-78.35,105.95
265,37686.5,602.50,291.45,-78.35,105.95,37686.5,602.50,291.45,-78.35,105.95
266,37702.5,593.15,296.75,-78.35,105.95,37702.5,593.15,296.75,-78.35,105.95
267,37700.5,589.25,297.60,-78.35,105.95,37700.5,589.25,297.60,-78.35,105.95
268,37711.1,582.75,300.40,-78.35,105.95,37711.1,582.75,300.40,-78.35,105.95
269,37711.95,577.00,301.75,-78.35,105.95,37711.95,577.00,301.75,-78.35,105.95
270,37710.95,584.15,299.70,-78.35,105.95,37710.95,584.15,299.70,-78.35,105.95
271,37686.75,599.50,294.15,-78.35,105.95,37686.75,599.50,294.15,-78.35,105.95
272,37722.5,569.15,308.80,-78.35,105.95,37722.5,569.15,308.80,-78.35,105.95
273,37705.3,583.10,303.60,-78.35,105.95,37705.3,583.10,303.60,-78.35,105.95
274,37723.3,574.05,306.00,-78.35,105.95,37723.3,574.05,306.00,-78.35,105.95
275,37734.15,572.80,307.05,-78.35,105.95,37734.15,572.80,307.05,-78.35,105.95
276,37744.45,566.75,310.70,-78.35,105.95,37744.45,566.75,310.70,-78.35,105.95
277,37735.6,568.65,308.35,-78.35,105.95,37735.6,568.65,308.35,-78.35,105.95
278,37721.5,586.15,300.00,-78.35,105.95,37721.5,586.15,300.00,-78.35,105.95
279,37703.25,599.20,289.35,-78.35,105.95,37703.25,599.20,289.35,-78.35,105.95
280,37663.0,620.45,274.90,-78.35,105.95,37663.0,620.45,274.90,-78.35,105.95
281,37684.9,607.80,280.85,-78.35,105.95,37684.9,607.80,280.85,-78.35,105.95
282,37746.6,552.95,312.50,-78.35,105.95,37746.6,552.95,312.50,-78.35,105.95
283,37730.0,561.25,303.25,-78.35,105.95,37730.0,561.25,303.25,-78.35,105.95
284,37739.9,552.00,308.55,-78.35,105.95,37739.9,552.00,308.55,-78.35,105.95
285,37737.9,562.40,303.85,-78.35,105.95,37737.9,562.40,303.85,-78.35,105.95
286,37728.6,570.45,297.40,-78.35,105.95,37728.6,570.45,297.40,-78.35,105.95
287,37700.6,586.40,285.70,-78.35,105.95,37700.6,586.40,285.70,-78.35,105.95
288,37675.15,606.55,279.80,-78.35,105.95,37675.15,606.55,279.80,-78.35,105.95
289,37688.05,599.70,283.90,-78.35,105.95,37688.05,599.70,283.90,-78.35,105.95
290,37668.25,618.60,277.15,-78.35,105.95,37668.25,618.60,277.15,-78.35,105.95
291,37691.0,598.40,284.20,-78.35,105.95,37691.0,598.40,284.20,-78.35,105.95
292,37648.1,628.70,272.00,-78.35,105.95,37648.1,628.70,272.00,-78.35,105.95
293,37628.0,640.80,261.20,-78.35,105.95,37628.0,640.80,261.20,-78.35,105.95
294,37656.85,621.95,272.15,-78.35,105.95,37656.85,621.95,272.15,-78.35,105.95
295,37644.25,633.00,268.95,-78.35,105.95,37644.25,633.00,268.95,-78.35,105.95
296,37671.15,614.05,276.45,-78.35,105.95,37671.15,614.05,276.45,-78.35,105.95
297,37643.1,635.00,267.25,-78.35,105.95,37643.1,635.00,267.25,-78.35,105.95
298,37613.5,656.10,258.45,-78.35,105.95,37613.5,656.10,258.45,-78.35,105.95
